Date,Transaction_ID,Description,Category,Amount,Type,Balance
2026-03-03,TXN0061,AWS Services,Infrastructure,93000,Debit,8627000
2026-03-04,TXN0062,Google Workspace,Software,12000,Debit,8615000
2026-03-05,TXN0063,Marketing Campaign,Marketing,175000,Debit,8440000
2026-03-06,TXN0064,Client Payment Nexus,Revenue,1250000,Credit,9690000
2026-03-07,TXN0065,Laptop Purchase,Equipment,380000,Debit,9310000
2026-03-08,TXN0066,Travel Expenses,Travel,72000,Debit,9238000
2026-03-09,TXN0067,Client Payment Prime,Revenue,760000,Credit,9998000
2026-03-10,TXN0068,Tax Payment,Tax,500000,Debit,9498000
2026-03-11,TXN0069,Employee Salaries,Payroll,650000,Debit,8848000
2026-03-12,TXN0070,Client Payment Vertex,Revenue,1480000,Credit,10328000
2026-03-13,TXN0071,AWS Services,Infrastructure,98000,Debit,10230000
2026-03-14,TXN0072,Server Upgrade,Infrastructure,310000,Debit,9920000
2026-03-15,TXN0073,Client Payment Infinity,Revenue,980000,Credit,10900000
2026-03-16,TXN0074,Marketing Campaign,Marketing,220000,Debit,10680000
2026-03-17,TXN0075,Office Rent,Housing,120000,Debit,10560000
2026-03-18,TXN0076,Employee Bonus,Payroll,250000,Debit,10310000
2026-03-19,TXN0077,Client Payment Aurora,Revenue,1170000,Credit,11480000
2026-03-20,TXN0078,Cybersecurity Audit,Security,190000,Debit,11290000
2026-03-21,TXN0079,Recruitment Campaign,HR,88000,Debit,11202000
2026-03-22,TXN0080,Client Payment Fusion,Revenue,860000,Credit,12062000
2026-03-23,TXN0081,AWS Services,Infrastructure,108000,Debit,11954000
2026-03-24,TXN0082,Software Licenses,Software,68000,Debit,11886000
2026-03-25,TXN0083,Employee Salaries,Payroll,650000,Debit,11236000
2026-03-26,TXN0084,Client Payment TitanX,Revenue,1540000,Credit,12776000
2026-03-27,TXN0085,Tax Payment,Tax,550000,Debit,12226000
2026-03-28,TXN0086,Office Furniture,Equipment,270000,Debit,11956000
2026-03-29,TXN0087,Client Payment Horizon,Revenue,920000,Credit,12876000
2026-03-30,TXN0088,Marketing Agency,Marketing,135000,Debit,12741000
2026-03-31,TXN0089,AWS Services,Infrastructure,112000,Debit,12629000
2026-04-01,TXN0090,Employee Salaries,Payroll,650000,Debit,11979000
2026-04-02,TXN0091,Client Payment Stellar,Revenue,1380000,Credit,13359000
2026-04-03,TXN0092,Travel Expenses,Travel,84000,Debit,13275000
2026-04-04,TXN0093,Security Audit,Security,145000,Debit,13130000
2026-04-05,TXN0094,Client Payment Cosmos,Revenue,1150000,Credit,14280000
2026-04-06,TXN0095,Google Ads,Marketing,185000,Debit,14095000
2026-04-07,TXN0096,AWS Services,Infrastructure,118000,Debit,13977000
2026-04-08,TXN0097,Client Payment NovaTech,Revenue,1680000,Credit,15657000
2026-04-09,TXN0098,Office Rent,Housing,120000,Debit,15537000
2026-04-10,TXN0099,Employee Bonus,Payroll,300000,Debit,15237000
2026-04-11,TXN0100,Client Payment Hyperion,Revenue,1950000,Credit,17187000
